Date,54T,24T,27T,30T,36T,40T,44T
7/11/2013,27,16,N/A,9,24,N/A,16
7/12/2013,28,14,N/A,7,23,N/A,21
7/13/2013,19,16,N/A,8,19,N/A,16
7/14/2013,20,11,N/A,5,16,N/A,14
7/15/2013,14,15,N/A,5,15,N/A,22
7/16/2013,19,14,N/A,6,24,N/A,22
7/17/2013,20,13,N/A,7,21,N/A,13
7/18/2013,25,16,N/A,12,23,N/A,10
7/19/2013,19,17,N/A,9,23,N/A,23
7/20/2013,24,16,N/A,11,22,N/A,30
7/21/2013,19,19,N/A,7,16,N/A,30
7/22/2013,20,14,N/A,5,20,N/A,25
7/23/2013,26,18,N/A,7,17,N/A,20
7/24/2013,21,14,N/A,6,18,N/A,12
7/25/2013,27,18,N/A,8,19,N/A,14
7/26/2013,18,15,N/A,11,21,N/A,21
7/27/2013,30,17,N/A,10,26,N/A,21
7/28/2013,26,17,N/A,7,24,N/A,16
7/29/2013,16,11,N/A,8,23,N/A,14
7/30/2013,19,11,N/A,8,18,N/A,18
7/31/2013,22,21,N/A,8,19,N/A,18
8/1/2013,27,24,N/A,9,27,N/A,11
8/2/2013,26,23,N/A,13,30,N/A,9
8/3/2013,24,21,N/A,11,23,N/A,15
8/4/2013,20,24,N/A,11,20,N/A,16
8/5/2013,29,26,N/A,10,22,N/A,13
8/6/2013,32,32,N/A,12,29,N/A,9
8/7/2013,27,27,N/A,11,21,N/A,15
8/8/2013,24,15,N/A,9,30,N/A,24
8/9/2013,25,19,N/A,8,25,N/A,11
8/10/2013,25,20,N/A,7,12,N/A,16
8/11/2013,24,19,N/A,8,15,N/A,13
8/12/2013,22,23,N/A,N/A,18,N/A,13
8/13/2013,18,19,N/A,10,19,N/A,12
8/14/2013,16,14,N/A,5,22,N/A,21
8/15/2013,16,13,N/A,N/A,21,N/A,26
8/16/2013,17,15,N/A,7,15,N/A,27
8/17/2013,18,18,N/A,7,19,N/A,12
8/18/2013,22,20,N/A,7,19,N/A,13
8/19/2013,20,20,N/A,9,26,N/A,10
8/20/2013,17,19,N/A,10,23,N/A,12
8/21/2013,21,17,N/A,8,19,N/A,22
8/22/2013,23,16,N/A,7,15,N/A,20
8/23/2013,22,14,N/A,8,21,N/A,20
8/24/2013,27,17,N/A,6,22,N/A,24
8/25/2013,23,13,N/A,7,20,N/A,23
8/26/2013,25,19,N/A,11,12,N/A,38
8/27/2013,25,25,N/A,11,24,N/A,35
8/28/2013,33,24,N/A,11,21,N/A,51
8/29/2013,23,20,N/A,9,18,N/A,26
8/30/2013,23,17,N/A,7,17,N/A,13
8/31/2013,37,24,N/A,6,17,N/A,12
9/1/2013,29,21,N/A,10,20,N/A,13
9/2/2013,21,21,N/A,6,12,N/A,16
9/3/2013,N/A,32,N/A,11,14,N/A,N/A
9/4/2013,N/A,28,N/A,10,15,N/A,17
9/5/2013,43,20,N/A,7,15,N/A,10
9/6/2013,38,16,N/A,10,11,N/A,9
9/7/2013,34,29,N/A,10,N/A,N/A,13
9/8/2013,40,30,N/A,13,13,N/A,10
9/9/2013,32,39,N/A,15,19,N/A,11
9/10/2013,42,37,N/A,16,19,N/A,13
9/11/2013,31,22,N/A,9,17,N/A,9
9/12/2013,41,20,N/A,7,17,N/A,17
9/13/2013,45,18,N/A,7,15,N/A,18
9/14/2013,35,15,N/A,8,16,N/A,20
9/15/2013,29,13,N/A,5,14,N/A,22
9/16/2013,20,9,N/A,10,13,N/A,23
9/17/2013,25,15,N/A,9,13,N/A,24
9/18/2013,30,17,N/A,8,21,N/A,22
9/19/2013,20,11,N/A,6,17,N/A,10
9/20/2013,18,8,N/A,N/A,23,N/A,16
9/21/2013,21,8,N/A,7,27,N/A,24
9/22/2013,18,9,N/A,5,24,N/A,26
9/23/2013,N/A,14,N/A,6,21,N/A,18
9/24/2013,21,15,N/A,7,21,N/A,20
9/25/2013,18,20,N/A,6,17,N/A,14
9/26/2013,29,23,N/A,9,23,N/A,16
9/27/2013,25,31,N/A,12,13,N/A,11
9/28/2013,31,26,N/A,13,17,N/A,14
9/29/2013,35,24,N/A,10,18,N/A,9
9/30/2013,N/A,23,N/A,10,17,N/A,14
10/1/2013,N/A,23,N/A,13,26,N/A,15
10/2/2013,N/A,25,N/A,10,22,N/A,18
10/3/2013,N/A,19,N/A,11,21,N/A,14
10/4/2013,N/A,38,N/A,20,21,N/A,12
10/5/2013,N/A,48,N/A,23,16,N/A,N/A
10/6/2013,N/A,49,N/A,14,27,N/A,10
10/7/2013,N/A,54,N/A,7,35,N/A,10
10/8/2013,N/A,48,17,12,30,N/A,12
10/9/2013,N/A,52,44,15,36,N/A,21
10/10/2013,19,63,29,15,41,N/A,32
10/11/2013,33,68,38,30,38,N/A,32
10/12/2013,N/A,N/A,63,43,35,N/A,32
10/13/2013,51,N/A,53,29,36,N/A,30
10/14/2013,N/A,N/A,44,28,33,N/A,36
10/15/2013,N/A,N/A,45,33,31,N/A,34
10/16/2013,N/A,N/A,26,20,48,N/A,34
10/17/2013,N/A,N/A,17,16,28,N/A,32
10/18/2013,N/A,N/A,16,12,13,N/A,37
10/19/2013,48,N/A,21,13,16,N/A,35
10/20/2013,N/A,N/A,25,8,20,N/A,30
10/21/2013,14,N/A,28,12,22,N/A,30
10/22/2013,26,N/A,45,18,28,N/A,N/A
10/23/2013,30,45,47,22,24,N/A,26
10/24/2013,9,N/A,56,29,21,N/A,26
10/25/2013,27,N/A,68,31,15,N/A,30
10/26/2013,30,N/A,71,43,22,N/A,32
10/27/2013,29,N/A,92,53,26,N/A,28
10/28/2013,29,N/A,72,42,40,N/A,31
10/29/2013,31,N/A,46,31,43,N/A,39
10/30/2013,N/A,N/A,84,48,37,N/A,38
10/31/2013,N/A,N/A,66,40,22,N/A,36
11/1/2013,N/A,N/A,40,23,43,N/A,30
11/2/2013,N/A,N/A,46,23,19,N/A,30
11/3/2013,45,N/A,52,23,31,N/A,29
11/4/2013,36,N/A,57,35,23,N/A,38
11/5/2013,N/A,N/A,67,32,20,N/A,41
11/6/2013,N/A,N/A,49,18,24,N/A,37
11/7/2013,N/A,N/A,36,11,22,N/A,47
11/8/2013,N/A,N/A,23,N/A,25,15,35
11/9/2013,N/A,N/A,48,11,32,15,35
11/10/2013,73,N/A,48,24,23,13,34
11/11/2013,84,N/A,35,28,19,12,39
11/12/2013,26,N/A,40,24,31,14,32
11/13/2013,N/A,N/A,52,20,20,18,32
11/14/2013,N/A,N/A,46,14,24,15,34
11/15/2013,N/A,N/A,25,10,24,11,34
11/16/2013,N/A,N/A,29,9,15,8,32
11/17/2013,N/A,N/A,32,12,18,7,25
