Year, Total, Bangkok, Central,Kanchanaburi,Nakhon Pathom,Prachuap Khiri Khan,Phetchaburi,Ratchaburi,Samut Prakan,Samut Songkhram,Samut Sakhon,Chai Nat,Nonthaburi,Pathum Thani,Ayutthaya,Lop Buri,Saraburi,Sing Buri,Suphan Buri,Ang Thong, Eastern,Chanthaburi,Chachoengsao,Chon Buri,Trad,Nakhon Nayok,Prachin Buri,Rayong,Sa Kaeo, Southern,Krabi,Chumphon,Nakhon Si Thammarat,Phangnga,Phuket,Ranong,Surat Thani,Trat,Narathiwat,Pattani,Phatthalung,Yala,Songkhla,Satun, Northern,Chiang Rai,Chiang Mai,Nan,Phayao,Phrae,Mae Hong Son,Lampang,Lamphun,Kamphaeng Phet,Tak,Nakhon Sawan,Phichit,Phitsanulok,Phetchabun,Sukhothai,Uttaradit,Uthai Thani, Northeastern,Kalasin,Khon Kaen,Nakhon Phanom,Bueng Kan,Maha Sarakham,Loei,Sakon Nakhon,Nong Khai,Nong Bua Lam Phu,Udon Thani,Chaiyaphum,Nakhon Ratchasima,Buri Ram,Mukdahan,Yasothon,Roi Et,Sisaket,Surin,Amnat Charoen,Ubon Ratchathani,Agriculture ,CR  pm ,,
9/1/2020,95422450000,29052570000,5359670000,2553880000,606720000,3269970000,2922150000,351980000,308190000,300550000,370770000,108410000,350800000,224650000,1224510000,605990000,917250000,79180000,733670000,52330000,13264760000,542440000,510870000,6501940000,904080000,494930000,371590000,3942830000,506950000,13789050000,2785700000,499410000,1041290000,567520000,3575380000,271340000,1212940000,558550000,72190000,77350000,358320000,39430000,2234520000,495110000,15567610000,2605080000,7626060000,199740000,151210000,168720000,431410000,517450000,178970000,184340000,704680000,352370000,150210000,703590000,868600000,389640000,183430000,152110000,8256590000,94790000,1734180000,147590000,90920000,101680000,451700000,176100000,396680000,43920000,991960000,187540000,1815220000,463590000,236130000,49660000,133520000,122620000,318050000,55060000,645680000,33.39691754,640,,
10/1/2020,10365220000,1493630000,745940000,758330000,39530000,823090000,644380000,107250000,38000000,48130000,19350000,22280000,34090000,25330000,229740000,46490000,58830000,18660000,117540000,12420000,1518630000,133740000,201220000,930460000,220790000,33730000,31280000,145020000,23610000,825360000,59480000,22200000,27450000,75900000,492600000,12040000,32440000,30770000,2830000,2500000,3690000,2350000,45590000,15520000,2363450000,485600000,1128800000,90940000,32500000,25550000,79800000,60810000,16700000,14580000,46260000,46980000,13780000,95820000,171410000,29420000,19470000,5030000,919490000,23630000,101030000,20640000,7490000,10480000,66910000,27830000,20000000,1690000,75410000,19640000,310140000,69160000,41510000,4160000,11480000,19130000,17580000,3540000,68040000,62.46874672,354,,
11/1/2020,52662890000,12625600000,3598950000,1641100000,270300000,2466680000,1834520000,134530000,246730000,346180000,49420000,81180000,297080000,173450000,1045160000,391670000,510530000,62640000,341320000,50020000,8560430000,377300000,420770000,5993500000,656030000,285320000,216810000,718730000,312740000,7161680000,1001630000,254230000,482370000,215220000,1366280000,93850000,1831480000,295270000,45710000,45430000,69670000,138250000,868730000,453560000,9544660000,2277840000,3645680000,216630000,132100000,202580000,297330000,337660000,105680000,99390000,386260000,359790000,95680000,495360000,532840000,143270000,102390000,114180000,4407240000,57070000,845980000,200790000,75280000,50330000,269500000,184890000,217620000,17940000,453420000,107190000,782930000,415080000,177140000,38130000,63030000,88420000,104540000,18620000,239340000,31.90613269,325,,
12/1/2020,41357890000,14106670000,1816860000,1385420000,219070000,1165130000,1283980000,234970000,109140000,127170000,46680000,45830000,128870000,49950000,522760000,172490000,144920000,27230000,154470000,29170000,4714700000,261740000,320750000,2248620000,529110000,395190000,227680000,787220000,265140000,7042340000,544150000,229240000,1057640000,179640000,1541200000,96030000,699470000,243620000,48790000,39870000,187320000,55420000,1937760000,182190000,5218220000,971710000,2427370000,80070000,70310000,65220000,96270000,183870000,57230000,51720000,248690000,127920000,62910000,302290000,226850000,91150000,96870000,57770000,4107960000,51660000,757800000,100100000,43270000,47410000,168090000,141780000,193330000,12270000,606040000,71160000,1195900000,133610000,89500000,28480000,77260000,75380000,99960000,10960000,204000000,34.36939918,337,,
1/1/2021,66563610000,13333880000,13510890000,2201330000,375770000,2874390000,2328350000,258110000,277400000,530020000,162320000,125010000,454200000,321970000,1526080000,485320000,587290000,83590000,810650000,109090000,11086870000,1102630000,619630000,6414080000,685320000,369350000,269610000,1296320000,329930000,11287590000,1632140000,458950000,1351020000,351020000,1724660000,168020000,2156130000,491020000,152020000,94020000,206650000,246210000,1528910000,726820000,10988170000,2761050000,3819260000,276140000,157170000,242290000,325070000,397150000,126340000,128210000,470950000,445150000,101740000,526700000,736950000,164170000,179520000,130310000,6356210000,105120000,819790000,273320000,131740000,62320000,365180000,231020000,413650000,29320000,719320000,187780000,1321290000,470580000,229950000,40510000,73690000,101480000,161850000,33750000,584550000,27.14511156,428.6,,
2/1/2021,57471550000,11988410000,3258510000,1675610000,291610000,2316350000,1783240000,241790000,228460000,215240000,114710000,77010000,217670000,162780000,792740000,335930000,493250000,61050000,420550000,36630000,9250840000,463080000,446670000,4859960000,770680000,367250000,314980000,2198630000,276260000,7690290000,955840000,241270000,1144110000,275350000,1628520000,66560000,725820000,256840000,44900000,38020000,162260000,247930000,1498220000,404650000,13030770000,2178530000,6773390000,222930000,120680000,131000000,417650000,397820000,149180000,124050000,485450000,273570000,112090000,525180000,585740000,275080000,139880000,118550000,5599950000,63440000,1025250000,129950000,71630000,94860000,396730000,153660000,296620000,23580000,786140000,151240000,1227470000,277710000,142870000,30380000,105960000,86070000,195710000,35230000,305450000,40.85527354,447,,
3/1/2021,93863130000,31137650000,3772300000,2505210000,365850000,2376060000,1704790000,439390000,303530000,321900000,166410000,91090000,385540000,208060000,1059240000,408580000,310280000,61400000,466670000,120590000,9400960000,950740000,291730000,3927710000,826180000,803890000,456380000,1946110000,489950000,18268150000,3017750000,459710000,1148460000,861820000,4450200000,323260000,1172060000,1019800000,61390000,76930000,180930000,35240000,3896670000,1563930000,14610890000,2547250000,6950680000,330100000,144280000,152770000,379010000,276880000,163980000,143630000,701820000,341970000,132540000,898610000,866590000,192940000,249150000,138690000,8859160000,83670000,1627700000,201520000,137430000,98780000,438750000,232200000,461660000,34030000,709880000,176460000,2386070000,331540000,320790000,58380000,111290000,270580000,300520000,31290000,846620000,32.41106529,1075,,
4/1/2021,73845550000,14260010000,14939910000,2503790000,363610000,3599450000,2551100000,262330000,352970000,571790000,124390000,95310000,480770000,285630000,1332470000,660810000,647010000,84340000,942160000,81980000,13210020000,619170000,513330000,8788730000,955060000,361000000,278990000,1355130000,338610000,9640815000,1755770000,386120000,722880000,386560000,1646590000,178050000,1832100000,535335000,90650000,84830000,125020000,159630000,1034850000,702430000,15432680000,3896000000,6096060000,404580000,197840000,267180000,417660000,498180000,152140000,135540000,645050000,497370000,143620000,729530000,806260000,222960000,184120000,138590000,6362110000,75120000,944550000,233880000,118650000,78820000,367310000,228090000,350810000,30830000,820630000,140890000,1120090000,617300000,280420000,37170000,137510000,79530000,180950000,37170000,482390000,35.13847562,971,,
5/1/2021,66039720000,18810390000,2418540000,1817810000,263330000,1745550000,1467890000,240900000,130510000,269280000,143850000,71040000,262990000,144230000,583790000,315680000,211190000,50490000,341550000,99400000,6446970000,843270000,142040000,2213660000,598740000,607280000,282730000,1490330000,410960000,14878900000,3630790000,356780000,778820000,470740000,4211590000,308090000,1286600000,776360000,72110000,72150000,145350000,34110000,1624100000,1111310000,10578070000,1578330000,5130880000,245990000,99990000,112130000,278790000,205670000,122480000,110250000,541980000,286030000,111220000,702620000,603990000,143100000,185410000,119210000,7023870000,82700000,1310100000,227460000,91670000,69000000,344800000,187100000,333650000,31340000,570280000,89290000,1840470000,277180000,286720000,56000000,89360000,223940000,218080000,28570000,666160000,21.72484352,1678,,
6/1/2021,68474350000,13466930000,13581200000,2404150000,329990000,3019340000,2350310000,341770000,294020000,521450000,116200000,100650000,425370000,266360000,1245820000,561750000,584660000,72130000,834510000,112720000,10803530000,1134250000,476970000,6109110000,840980000,334980000,275750000,1310320000,321170000,10179010000,1831270000,416200000,820370000,375210000,1835670000,265320000,2008490000,597370000,98320000,94600000,135000000,168650000,852570000,679970000,13768700000,3251590000,5293850000,482390000,192730000,253200000,378960000,415160000,122300000,131260000,613620000,478300000,131490000,670330000,860120000,193440000,172170000,127790000,6674980000,88330000,856220000,257440000,109320000,70350000,348700000,235660000,427970000,29820000,753440000,127600000,1007500000,541250000,259440000,35680000,88600000,73490000,175750000,34200000,1154220000,31.72999823,1259,,
